transaction_id,description,value,date
68c1820c-8940-497b-a87e-9f73dbb427fd,consequat in consequat,-4321.01,2019-04-07
eba0abef-69f7-4862-8dd0-fe7182db893e,nisl,-9398.27,2019-04-12
c24bd940-e516-44ff-b2cc-6d9e1be6001f,enim lorem ipsum,1940.55,2019-02-13
a1228ac9-d03a-404b-9d27-d92a4ea23e8a,tristique est et,-3771.94,2019-09-08
12aae3d7-d52d-418f-9c25-4ff9381e7e2c,in porttitor pede,-2648.3,2019-08-08
fe29b2cc-8393-4463-96ec-a9a740b30b61,lacus at,-8450.11,2019-01-06
6de45b77-89bc-4580-b495-bde481612a12,vestibulum eget vulputate,-7589.15,2019-04-07
e90f0481-30b5-444c-89b6-92182754c587,fringilla rhoncus mauris,-689.14,2019-08-12
8f106008-4372-44bc-b3d5-bab32a5fe4d5,massa,-4928.04,2019-07-20
5d1ed898-6cbe-4725-ac18-66ef96f04d71,in,752.88,2019-04-15
91d3e25c-d64a-41cd-8fde-1100edcf19d9,platea dictumst,-8091.99,2019-06-29
f44d62c9-87fc-4200-8813-82e686b47291,sem,-2666.86,2019-09-09
b58ecf2c-f4d8-4e5b-ba4f-70a92898198c,luctus,1116.8,2019-02-04
6970157c-519b-42ab-9981-1172377f19af,nulla pede ullamcorper,-8051.17,2018-11-17
9a53cf5e-bdfe-459a-9c4c-677ea6af0d6b,massa id lobortis,-470.3,2019-05-19
e30db956-dba3-4967-9012-dc2779147219,bibendum,-5070.16,2018-11-10
e94109ac-4028-41f2-b4fb-6e4e2f80dbaa,nulla,-2494.71,2019-05-26
e18f6593-1662-40e4-9a14-7f5e6b113f93,pede,-3644.86,2018-11-13
1a0096ce-6efb-4bf5-a47b-03ee787e0d63,ligula in,-10168.02,2018-11-06
f31f7e82-4109-4d3d-9647-c1a85d437d3b,justo in,-2420.88,2018-10-13
317b0da1-7857-4c25-818e-2dd4e3dbf854,augue vel accumsan,-9862.8,2019-02-27
8063754a-723d-4a02-9d0b-88890c13085b,tempus,-6410.34,2018-09-10
0173d9e7-3d64-4f02-9670-bf998304ff03,curae,-4866.69,2019-08-09
ea2b2ae5-67aa-4f84-bb38-68c33d1f85b6,ipsum primis in,-10210.01,2019-08-09
